,School DBN,English,Global History and Geography,Integrated Algebra,Living Environment,Average Score (SAT Math),Average Score (SAT Reading),Average Score (SAT Writing),Average SAT Score (Total)
0,01M292,63.0,54.2,63.4,55.4,410.0,406.0,381.0,1197.0
1,01M448,65.1,65.8,65.7,67.7,437.0,355.0,352.0,1144.0
3,01M509,69.2,62.8,60.3,64.1,438.0,413.0,394.0,1245.0
8,02M288,71.6,66.1,60.4,65.1,428.0,435.0,421.0,1284.0
9,02M296,74.4,71.5,69.9,71.8,451.0,433.0,424.0,1308.0
10,02M298,79.1,72.3,69.1,77.1,430.0,435.0,427.0,1292.0
11,02M300,71.9,61.0,64.3,64.4,445.0,417.0,403.0,1265.0
12,02M305,73.1,65.6,62.7,66.2,389.0,395.0,381.0,1165.0
13,02M308,76.6,66.8,65.8,72.8,418.0,428.0,415.0,1261.0
14,02M316,72.1,54.9,59.4,63.0,418.0,420.0,417.0,1255.0
15,02M374,72.8,65.1,64.2,69.1,446.0,459.0,455.0,1360.0
16,02M392,74.4,69.4,64.0,75.1,410.0,407.0,399.0,1216.0
17,02M393,70.0,59.6,65.8,65.1,395.0,386.0,371.0,1152.0
19,02M399,68.9,64.9,69.2,72.1,446.0,433.0,411.0,1290.0
20,02M400,72.5,66.9,63.5,70.8,469.0,454.0,444.0,1367.0
21,02M411,85.1,87.4,84.7,86.4,592.0,526.0,531.0,1649.0
22,02M412,74.0,81.8,71.6,84.8,595.0,550.0,555.0,1700.0
23,02M414,87.4,88.6,82.6,83.4,560.0,530.0,522.0,1612.0
24,02M416,88.2,90.9,88.2,90.7,641.0,617.0,631.0,1889.0
25,02M418,75.7,88.9,80.5,87.5,577.0,560.0,567.0,1704.0
26,02M420,78.0,72.6,72.6,73.2,452.0,445.0,430.0,1327.0
27,02M425,70.9,61.0,60.3,64.8,390.0,396.0,392.0,1178.0
28,02M427,66.1,65.0,59.7,65.4,350.0,334.0,321.0,1005.0
30,02M437,66.6,54.3,57.0,63.5,378.0,407.0,388.0,1173.0
31,02M439,93.1,79.6,72.9,76.9,522.0,479.0,510.0,1511.0
34,02M475,91.5,94.3,93.7,93.6,754.0,697.0,693.0,2144.0
35,02M489,78.5,68.9,69.4,74.4,469.0,442.0,447.0,1358.0
36,02M500,74.6,60.2,68.3,64.3,375.0,385.0,387.0,1147.0
37,02M507,72.8,74.8,69.2,75.1,445.0,432.0,415.0,1292.0
38,02M519,83.2,81.0,73.3,81.0,485.0,498.0,496.0,1479.0
39,02M520,63.8,57.6,62.0,63.4,418.0,415.0,398.0,1231.0
40,02M529,71.0,62.2,59.8,67.1,418.0,422.0,415.0,1255.0
41,02M531,77.3,70.4,76.7,75.4,425.0,451.0,458.0,1334.0
43,02M542,72.3,65.0,71.3,73.2,409.0,360.0,347.0,1116.0
44,02M543,76.4,64.1,67.7,65.5,381.0,396.0,372.0,1149.0
46,02M545,78.2,85.1,84.7,83.0,613.0,453.0,463.0,1529.0
49,02M551,67.2,69.2,65.8,73.4,446.0,453.0,428.0,1327.0
51,02M580,67.8,58.2,61.3,65.5,411.0,415.0,409.0,1235.0
53,02M600,79.9,72.1,69.4,74.3,433.0,442.0,427.0,1302.0
54,02M615,80.5,69.9,65.3,80.1,439.0,418.0,400.0,1257.0
56,02M630,74.3,68.1,64.7,75.8,455.0,475.0,458.0,1388.0
58,03M299,70.8,59.0,62.4,67.8,375.0,389.0,380.0,1144.0
59,03M307,61.5,53.4,68.7,69.3,392.0,419.0,396.0,1207.0
60,03M402,67.0,59.8,62.3,66.6,393.0,371.0,378.0,1142.0
61,03M403,61.6,62.8,64.1,70.3,406.0,407.0,413.0,1226.0
63,03M417,79.0,76.7,71.4,74.8,489.0,491.0,500.0,1480.0
64,03M485,84.6,87.4,76.9,89.5,592.0,592.0,597.0,1781.0
65,03M492,67.7,63.2,58.8,64.2,415.0,417.0,402.0,1234.0
66,03M494,65.2,57.6,61.1,61.8,421.0,428.0,406.0,1255.0
68,03M541,85.6,87.7,78.7,86.6,581.0,531.0,535.0,1647.0
