Zip Code,Latitude,Longitude,School DBN,Algebra2/Trigonometry,English,Geometry,Global History and Geography,Integrated Algebra,Living Environment,Physical Settings/Chemistry,Physical Settings/Physics,Average Score (SAT Math),Average Score (SAT Reading),Average Score (SAT Writing),Average SAT Score (Total)
10019,40.76503,-73.99252,02M300,52.6,71.9,66.4,61,64.3,64.4,63,64.7,445,417,403,1265
10019,40.76776,-73.98751,02M400,64.2,72.5,65,66.9,63.5,70.8,65.7,71.5,469,454,444,1367
10011,40.7421,-74.00207,02M412,77,74,80.9,81.8,71.6,84.8,67.9,80.2,595,550,555,1700
10021,40.77012,-73.95338,02M416,81.2,88.2,84.2,90.9,88.2,90.7,83.1,79.9,641,617,631,1889
10004,40.70492,-74.01151,02M418,81.4,75.7,79.6,88.9,80.5,87.5,76.9,72.4,577,560,567,1704
10003,40.73249,-73.98305,02M420,64,78,72.1,72.6,72.6,73.2,73.1,74.1,452,445,430,1327
10010,40.74149,-73.99145,02M439,84.3,93.1,74.8,79.6,72.9,76.9,71.2,79.4,522,479,510,1511
10282,40.71775,-74.01405,02M475,92.9,91.5,93.1,94.3,93.7,93.6,88.7,91.5,754,697,693,2144
10006,40.70922,-74.01203,02M489,48.5,78.5,68.7,68.9,69.4,74.4,59.1,52.3,469,442,447,1358
10016,40.74611,-73.98101,02M500,51.3,74.6,64.3,60.2,68.3,64.3,54.2,50.4,375,385,387,1147
10019,40.76336,-73.99051,02M507,45.9,72.8,59.4,74.8,69.2,75.1,61.2,36.5,445,432,415,1292
10065,40.76545,-73.96021,02M519,67.8,83.2,75.5,81,73.3,81,66.2,63.2,485,498,496,1479
10019,40.76503,-73.99252,02M542,64.3,72.3,68,65,71.3,73.2,57.5,54.7,409,360,347,1116
10002,40.71687,-73.98953,02M545,81.9,78.2,82.5,85.1,84.7,83,84.3,77.8,613,453,463,1529
10013,40.72435,-74.00476,02M615,56,80.5,68.6,69.9,65.3,80.1,79.5,74.6,439,418,400,1257
10019,40.7654,-73.98177,02M630,54.9,74.3,70.5,68.1,64.7,75.8,63.1,71.7,455,475,458,1388
10024,40.78574,-73.97442,03M403,81.7,61.6,61.8,62.8,64.1,70.3,69.8,66.7,406,407,413,1226
10024,40.78574,-73.97442,03M417,61.5,79,74.6,76.7,71.4,74.8,74.1,80.7,489,491,500,1480
10023,40.77367,-73.98527,03M485,73.4,84.6,80.9,87.4,76.9,89.5,72.1,70.2,592,592,597,1781
10023,40.7743,-73.98482,03M492,42.4,67.7,55.6,63.2,58.8,64.2,53.4,48.8,415,417,402,1234
