,School DBN,Algebra2/Trigonometry,English,Geometry,Global History and Geography,Integrated Algebra,Living Environment,Physical Settings/Chemistry,Physical Settings/Physics,Zip Code,Latitude,Longitude,Average Score (SAT Math),Average Score (SAT Reading),Average Score (SAT Writing),Average SAT Score (Total)
0,02M300,52.6,71.9,66.4,61.0,64.3,64.4,63.0,64.7,10019.0,40.765029999999996,-73.99252,445.0,417.0,403.0,1265.0
1,02M400,64.2,72.5,65.0,66.9,63.5,70.8,65.7,71.5,10019.0,40.767759999999996,-73.98751,469.0,454.0,444.0,1367.0
2,02M412,77.0,74.0,80.9,81.8,71.6,84.8,67.9,80.2,10011.0,40.7421,-74.00206999999999,595.0,550.0,555.0,1700.0
3,02M416,81.2,88.2,84.2,90.9,88.2,90.7,83.1,79.9,10021.0,40.77012,-73.95338000000001,641.0,617.0,631.0,1889.0
4,02M418,81.4,75.7,79.6,88.9,80.5,87.5,76.9,72.4,10004.0,40.70492,-74.01151,577.0,560.0,567.0,1704.0
5,02M420,64.0,78.0,72.1,72.6,72.6,73.2,73.1,74.1,10003.0,40.732490000000006,-73.98305,452.0,445.0,430.0,1327.0
6,02M439,84.3,93.1,74.8,79.6,72.9,76.9,71.2,79.4,10010.0,40.74149,-73.99145,522.0,479.0,510.0,1511.0
7,02M475,92.9,91.5,93.1,94.3,93.7,93.6,88.7,91.5,10282.0,40.71775,-74.01405,754.0,697.0,693.0,2144.0
8,02M489,48.5,78.5,68.7,68.9,69.4,74.4,59.1,52.3,10006.0,40.70922,-74.01203000000001,469.0,442.0,447.0,1358.0
9,02M500,51.3,74.6,64.3,60.2,68.3,64.3,54.2,50.4,10016.0,40.746109999999994,-73.98101,375.0,385.0,387.0,1147.0
10,02M507,45.9,72.8,59.4,74.8,69.2,75.1,61.2,36.5,10019.0,40.76336,-73.99051,445.0,432.0,415.0,1292.0
11,02M519,67.8,83.2,75.5,81.0,73.3,81.0,66.2,63.2,10065.0,40.76545,-73.96021,485.0,498.0,496.0,1479.0
12,02M542,64.3,72.3,68.0,65.0,71.3,73.2,57.5,54.7,10019.0,40.765029999999996,-73.99252,409.0,360.0,347.0,1116.0
13,02M545,81.9,78.2,82.5,85.1,84.7,83.0,84.3,77.8,10002.0,40.71687,-73.98953,613.0,453.0,463.0,1529.0
15,02M615,56.0,80.5,68.6,69.9,65.3,80.1,79.5,74.6,10013.0,40.72435,-74.00476,439.0,418.0,400.0,1257.0
16,02M630,54.9,74.3,70.5,68.1,64.7,75.8,63.1,71.7,10019.0,40.7654,-73.98177,455.0,475.0,458.0,1388.0
17,03M403,81.7,61.6,61.8,62.8,64.1,70.3,69.8,66.7,10024.0,40.785740000000004,-73.97442,406.0,407.0,413.0,1226.0
18,03M417,61.5,79.0,74.6,76.7,71.4,74.8,74.1,80.7,10024.0,40.785740000000004,-73.97442,489.0,491.0,500.0,1480.0
19,03M485,73.4,84.6,80.9,87.4,76.9,89.5,72.1,70.2,10023.0,40.77367,-73.98527,592.0,592.0,597.0,1781.0
20,03M492,42.4,67.7,55.6,63.2,58.8,64.2,53.4,48.8,10023.0,40.7743,-73.98482,415.0,417.0,402.0,1234.0
21,03M541,81.4,85.6,78.5,87.7,78.7,86.6,75.3,66.0,10023.0,40.7743,-73.98482,581.0,531.0,535.0,1647.0
22,04M435,76.9,83.1,77.5,80.0,78.9,82.8,73.5,74.5,10029.0,40.79374,-73.93408000000001,556.0,505.0,495.0,1556.0
23,04M555,58.2,76.5,69.2,77.6,76.4,80.5,68.9,68.7,10029.0,40.79368,-73.94941999999999,483.0,468.0,439.0,1390.0
24,04M680,55.0,67.2,56.7,55.0,63.5,55.6,59.2,59.3,10029.0,40.79188,-73.94659,385.0,380.0,370.0,1135.0
25,06M467,39.4,68.1,51.8,62.2,61.8,64.9,54.2,40.9,10040.0,40.855940000000004,-73.92703,401.0,394.0,381.0,1176.0
26,06M552,60.0,71.8,61.8,64.8,64.0,64.1,58.4,59.0,10032.0,40.838029999999996,-73.93836999999999,383.0,355.0,352.0,1090.0
27,08X293,40.4,69.5,56.4,69.9,65.1,68.8,71.4,53.9,10461.0,40.840509999999995,-73.83811999999999,390.0,411.0,393.0,1194.0
28,08X405,62.3,64.6,53.4,56.4,63.0,62.4,54.5,60.4,10461.0,40.840509999999995,-73.83811999999999,426.0,419.0,407.0,1252.0
30,09X250,58.8,67.4,50.5,59.1,63.0,62.1,56.1,60.6,10456.0,40.83374,-73.90245,400.0,391.0,397.0,1188.0
31,09X297,53.9,58.7,60.9,54.4,58.0,57.4,57.6,52.3,10456.0,40.8276,-73.90448,407.0,389.0,386.0,1182.0
32,09X525,37.8,67.2,48.3,56.6,66.9,59.5,57.8,62.9,10457.0,40.843579999999996,-73.90321999999999,375.0,372.0,374.0,1121.0
33,10X237,45.7,65.9,54.5,54.9,63.6,63.8,59.7,68.8,10463.0,40.87598,-73.90123,423.0,420.0,425.0,1268.0
34,10X434,52.2,72.1,55.3,72.5,69.5,71.7,54.2,69.1,10458.0,40.860009999999996,-73.88823000000001,413.0,408.0,402.0,1223.0
35,10X437,51.1,68.3,63.1,68.0,65.6,73.8,57.0,56.5,10458.0,40.860009999999996,-73.88823000000001,398.0,404.0,412.0,1214.0
36,10X440,43.8,65.5,59.1,54.7,64.4,61.2,60.3,65.2,10468.0,40.88008,-73.8859,445.0,436.0,433.0,1314.0
37,10X442,53.8,79.4,62.8,68.6,69.5,75.7,52.8,45.0,10468.0,40.87038,-73.89816,417.0,434.0,425.0,1276.0
